,job_title,company,location,salary,summary,url,easily_apply?
103,"Research Manager, Twitter Experience",Twitter,Los Angeles,N/A,"Lead the discovery of insights to drive strategy in the customer experience space.
Ability to build collaborative relationships remotely and cross-functionally…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=e5d4b717385a66c4&fccid=7a3824693ee1074b&vjs=3",False
102,Sr. Project Manager,Time Warner,Los Angeles,N/A,Prior experience in delivering infrastructure technology solutions in a real estate design and construction project in the role of a project manager is highly…,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=ed080174838be9dc&fccid=1220ad3971071315&vjs=3",False
101,Program Manager II,Eaton,Los Angeles,N/A,"Establish and negotiate pricing strategies by system and/or product, market and by customer.
This position will be based out of either our Jackson, MS, Grand…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=9df7ade9fe867f99&fccid=87f38351bd29de24&vjs=3",False
100,"Ecosystem Partner Experience Strategy Manager, West",Accenture,Los Angeles,N/A,"Specific experience with ecosystem partnerships, alliance relationships, GTM strategy, growth strategy, and customer engagement.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=252c3c4240146a26&fccid=a4e4e2eaf26690c9&vjs=3",False
99,Development Executive - Scripted,Fox Corporation,Los Angeles,N/A,"Pre-existing contacts and relationships in the creative community (agents/managers/producers, etc.).
FOX Entertainment is looking for a Development Executive to…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=b893a7b9aaa2b07a&fccid=61c19e057c54ec35&vjs=3",False
50,Machine Learning Platform Manager,Motional,Los Angeles,N/A,"We provide essential tools and frameworks to support the entire lifecycle of machine learning, from data processing, large scale training and evaluation…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=7459a5668ddd1df7&fccid=86e1d3bf79028267&vjs=3",False
97,Hematology Area Business Manager - Los Angeles,Sanofi,Los Angeles,N/A,Ensure effective execution of Sanofi Genzyme strategies and tactics within assigned geographic area by developing effective business plans to execute selling…,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=a4781da27964e4ec&fccid=5d3ed74ca4598964&vjs=3",False
96,Editorial Manager,Qool Media Holdings,Los Angeles,N/A,"Research and develop ideas across topics and verticals, review and optimize your individual creative strategy, and create original content on a daily, weekly,…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=aaba4a77fdfa1abc&fccid=585d6a948fef2fbc&vjs=3",False
95,"Localization Program Manager, Lead",Square,Los Angeles,N/A,"Manage operational engagement with vendors, refining strategy while increasing efficiency and scalability.
Square made credit card payments possible for all by…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=a8e04139a281883f&fccid=09abad886b83c501&vjs=3",False
94,Business Process & Requirements Manager,"Disney Parks, Experiences and Products",Los Angeles,N/A,"Proactively monitor progress for strategy initiatives.
Provide communications & presentation materials development, including very high quality senior executive…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=b731a44bfdff3593&fccid=6908893b5c7af08c&vjs=3",False
92,"Manager, Accounting",Safran,Los Angeles,N/A,"The Manager of Accounting is responsible for providing financial and administrative support to ensure effective, efficient and accurate financial and…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=3104c337cbc0d990&fccid=b3885ca934ed0066&vjs=3",False
91,Growth Marketing Manager,Modern Animal,Los Angeles,N/A,"Develop a deep understanding of our marketing funnel and attribution and use data-driven insights to prioritize, lead, and implement growth marketing strategies…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=fc74287a63442930&fccid=583a458da4e3eea2&vjs=3",False
90,Asset Manager,sbe Entertainment Group,Los Angeles,N/A,"Monthly reviews of each property to discuss performance and strategies for improvement.
Develop sales and revenue management strategies, drive improved…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=a13c20b5297c4ec6&fccid=86dcbf80f92d7dc2&vjs=3",False
89,"Human Resources Manager, Distribution",Converse,Los Angeles,N/A,"You will participate in key initiatives and talent planning sessions to assess talent and develop strategies to address development needs, gaps and risks.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=281492b51a5a3cd2&fccid=2c62e4de04b8f952&vjs=3",False
88,Product Manager II - Product Innovation (HBO Max),HBO Max,Los Angeles,N/A,"Clearly communicate the roadmap for assigned areas at all levels, including specific functionality offered at any given time point, to ensure alignment and buy…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=0b661b63f7d8a974&fccid=a710372f724c1e2e&vjs=3",False
87,Regional Sales Manager- Cortex,Palo Alto Networks,Los Angeles,N/A,You will build strategies with Security Focused Channel partner to drive integration of our products and an increase in sales.,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=3c32c2d1ff880545&fccid=0562f887e2bed9ea&vjs=3",False
107,"Ecosystem Partner Experience Strategy Manager, West",Accenture,Los Angeles,N/A,"Specific experience with ecosystem partnerships, alliance relationships, GTM strategy, growth strategy, and customer engagement.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=252c3c4240146a26&fccid=a4e4e2eaf26690c9&vjs=3",False
108,Strategic Finance Manager,Avaline,Los Angeles,N/A,"Experience working in a finance, operations, or strategy role in a company selling physical products is highly preferred.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=ebeceaea8f7273c5&fccid=8aa78d9359a0542e&vjs=3",False
109,Area Sales Manager - West Region,Hitachi ABB Power Grids,Los Angeles,N/A,"Direct the implementation of marketing strategies designed to maximize profit margins and ensure customer satisfaction.
Good communication and writing skills.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=2dc3326253cb333d&fccid=7f069240a8f0d436&vjs=3",False
122,Strategic Finance Manager,Aspiration Partners,Los Angeles,N/A,"Serve as a Strategic Finance Business Partner for Product, Marketing, and other relevant departments in formulating new products, features, and cost saving…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=0a5532802bdc5354&fccid=b89dc184f7cdc153&vjs=3",False
130,"Director, Paid Social Marketing",Time Warner,Los Angeles,N/A,"Analyze data to make recommendations to improve existing campaigns, forecast and develop new strategies that will inform future decisions.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=1152ad8069865a99&fccid=1220ad3971071315&vjs=3",False
129,"Manager, Network Engineering",The Walt Disney Studios,Los Angeles,N/A,"Work with vendors to align with organization vision and strategy.
The Network Engineering team is responsible for the design, implementation, and support of…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=6c5890bdde6dc427&fccid=779381286967ed9f&vjs=3",False
128,"Distribution Product Manager, Roku & Apple",Viacom,Los Angeles,N/A,This individual will work closely with the business development and development teams to establish and execute on partner product strategy.,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=f435127fa7501892&fccid=30cb52ad6dd37131&vjs=3",False
127,Product Manager (Apex Legends Mobile),Electronic Arts,Los Angeles,N/A,"2+ years in Product Management in gaming (console, PC, or mobile) or similar industries (e.g., entertainment or technology); strategy consulting experience…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=8da31f4273548698&fccid=617d7f961cfcf54a&vjs=3",False
126,District Sales Manager,ITW,Los Angeles,N/A,"Participates in the development/planning of the organization’s short-term and long-term strategies and goals.
Coaches team to become territory/business experts …","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=c609ed17a38607d0&fccid=a07fe33941b38f47&vjs=3",False
17,Project Manager I,Element Consulting,Los Angeles,N/A,Tracks all project status and provides management reports relative to overall program relative to construction project delivery schedules.,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=7a7e5f811cb39cc9&fccid=eaffcb30a35a7c3d&vjs=3",False
124,Product Manager - Ecommerce,Getty Images,Los Angeles,N/A,"Experience with building and overseeing product roadmap strategy.
You are a natural leader who is business-savvy, customer-obsessed, and has a track record of…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=fa1f758ed400fa62&fccid=c68f858ef73a0c44&vjs=3",False
123,FP&A Manager,"Cacique, Inc.",Los Angeles,N/A,"Shape pricing development and strategy with insightful market analytics, mix/portfolio analyses, and ownership of the pricing model.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=b2c392379412510b&fccid=949a03fa08ea9b11&vjs=3",False
44,"Distribution Product Manager, Roku & Apple",Viacom,Los Angeles,N/A,At least 5 years of commercial experience in software product/program management in a fast growing technical product organization.,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=f435127fa7501892&fccid=30cb52ad6dd37131&vjs=3",False
110,"Marketing Technology Manager, Brand Marketing & Audience - HBO Max",HBO Max,Los Angeles,N/A,You will be responsible for managing the marketing tech stack to support Marketing strategy and execution that drive growth and retention.,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=e9af68b7a0b97096&fccid=a710372f724c1e2e&vjs=3",False
120,"Manager, Technology Finance (Enterprise Tech & Service Costing Allocat",Disney Media & Entertainment Distribution,Los Angeles,N/A,Measure operating and capital expenditures against key performance metrics aligning spend with business strategy.,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=9c9a4c6fb295622c&fccid=c3092a91bcb42ca9&vjs=3",False
119,"Manager, HR Business Partner","Disney Parks, Experiences and Products",Los Angeles,N/A,Collaborate with HR functional partners to execute human resources strategies to enable business objectives and support future business growth.,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=9ccf3944d918bd21&fccid=6908893b5c7af08c&vjs=3",False
118,"Manager, Product Insights (Kids & Family) - HBO Max",HBO Max,Los Angeles,N/A,"Perform ad hoc analysis and build compelling presentations and propose data-driven decisions to shape retention strategies.
3+ years of experience using SQL.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=3815e53831f7a65e&fccid=a710372f724c1e2e&vjs=3",False
117,TAS Deal Analytics Manager,RSM US LLP,Los Angeles,N/A,"Lead and collaborate to develop strategies that address client needs.
We work with corporate and private equity clients on complex decisions that involve strong…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=2831329c4f85038c&fccid=198b7374e1f8a26f&vjs=3",False
116,Director of School Operations,Equitas Academy,Los Angeles,N/A,Equity is driving the reimagination of our organizational goals which will influence the Operation’s Department’s long-term strategy particularly as it pertains…,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=d3ec71681d4ca92a&fccid=7687669875bbf0cb&vjs=3",False
45,BI Implementation Manager,AuditBoard,Los Angeles,N/A,"Who We Are Looking For.
As an AuditBoard BI Implementation Manager you will be responsible for customer management and design, development, testing, deployment…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=970095e9884051ab&fccid=f17224c64cb3c16b&vjs=3",False
46,Director of Project Management,"FanDragon Technologies, Inc",Los Angeles,"$110,000 a year","Reportingto the Chief of Staff to the CEO, this person will help the Product andMarketing groups design, prioritize, and implement projects to scale thebusiness…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=9cda2669bd781194&fccid=6ef7fb01774d3dac&vjs=3",False
48,"Distribution Product Manager, Roku & Apple",Pluto TV,Los Angeles,N/A,At least 5 years of commercial experience in software product/program management in a fast growing technical product organization.,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=0eba0a7da19ad79d&fccid=a19abe8bd95e6ed4&vjs=3",False
16,Sr. Project Manager,Time Warner,Los Angeles,N/A,"Create project charter with high-level project plan.
Strong project management, project finance, and analytical skills.
End-to-end consolidated project plan.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=ed080174838be9dc&fccid=1220ad3971071315&vjs=3",False
26,Manager of Research Finance & Operations,RAND Corporation,Los Angeles,N/A,The Research Financial Operations (RFO) department is seeking a Manager of Research Finance & Operations who will oversee the daily financial and operational…,"https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=c66f23eb5edd59ff&fccid=8921eefe52b6fa61&vjs=3",False
18,IT Program Manager,Snapchat,Los Angeles,N/A,"Create standardized documentation for projects including project charters, project plans, work breakdown estimates and status reports.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=3839913d3f907f45&fccid=f368300325e8e8bc&vjs=3",False
9,"Localization Program Manager, Lead",Square,Los Angeles,N/A,"Square made credit card payments possible for all by turning a mobile phone into a credit card reader.
Refine end-to-end localization processes for a wide array…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=a8e04139a281883f&fccid=09abad886b83c501&vjs=3",False
10,Clinical Program Manager I BHC,Kaiser Permanente,Los Angeles,N/A,"Evaluates effectiveness of program and services.
Assists physicians and department managers in short and long-range planning of psychotherapeutic/psychiatric…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=dad941650292ade7&fccid=48ecd526e3aa3225&vjs=3",False
79,Program Manager - Smidt Heart Institute,Cedars-Sinai,Los Angeles,N/A,"As a Program Manager, you will provide leadership and direction for day to day academic operations and administrative activities for the Department of…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=5d393a10b9f2a6a5&fccid=22d99361dca0507f&vjs=3",False
78,L&D Program Manager,Endpoint Closing,Los Angeles,N/A,"High level degree of autonomy - capable of leading complex projects and strategies with limited direction.
You will work closely with leadership and across all…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=694ae196f7e1ab91&fccid=27cdb3878c8d2d22&vjs=3",False
77,"Director, Marketing Project Management",Time Warner,Los Angeles,N/A,"5-8 years of project management and related experience.
Be responsible for the creation and distribution of complete project plans, related documentation, and…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=0e060da152966fa4&fccid=1220ad3971071315&vjs=3",False
11,Transit Program Manager,HDR,Los Angeles,N/A,"Lead, direct, develop and market transit pursuits in the region.
Build and foster client relationships and leverage those relationships into successful pursuits…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=524d8933498f7ea1&fccid=c3725c584175877c&vjs=3",False
75,Project Manager - Facilities Assessments,Parsons,Los Angeles,N/A,"5 years’ experience in educational facility construction, public works or large commercial projects (may include projects outside of California).","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=35654269c0a8040f&fccid=e8f998ddd15bac9c&vjs=3",False
74,Project Manager - Healthcare,HOK,Los Angeles,N/A,"Responsible for managing project using the Deltek Project Management system; completes work plans in Deltek; including identification of project team members,…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=35c6afcf0bf55272&fccid=492f0ef36ba2fe4f&vjs=3",False
73,Project Manager -Buildings,Jacobs,Los Angeles,N/A,"Based in our Monterrey Park, CA office, reporting directly to the Manager of Disputes and Issue Resolution and working alongside other project managers, you’ll…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=4aa0514abe21fac3&fccid=de56d7554bea5214&vjs=3",False
72,Business Development Project Manager – Practice & Industry,Latham & Watkins LLP,Los Angeles,N/A,This position is responsible for providing administrative and operational project management support with an initial focus on establishing a regular and…,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=fab16fc9a6a76f15&fccid=9b3429c846ebbd8c&vjs=3",False
71,Project Manager,Optum,Los Angeles,N/A,"Facilitates the capturing and prioritization of project requirements.
Develops project plans and team assignments ensuring that resource allocation and project…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=b582e4e41bc82c92&fccid=3c38342724c75954&vjs=3",False
12,Program Manager - Smidt Heart Institute,Cedars-Sinai,Los Angeles,N/A,Provide comprehensive monthly customized reports/dashboards for individual programs to evaluate program productivity and financial assessment.,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=5d393a10b9f2a6a5&fccid=22d99361dca0507f&vjs=3",False
13,"Product Manager, CMS Automation",Time Warner,Los Angeles,N/A,"Experience in a large program management and/or operations environment.
They will also be responsible for managing a backlog and working directly with our…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=2fd838013b722528&fccid=1220ad3971071315&vjs=3",False
68,Project Manager - Quality Management,Cedars-Sinai,Los Angeles,N/A,"Proactively manage projects by using critical project management thinking skills- including but not limited to establishing scope of work and project plan,…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/rc/clk?jk=af4f485f36ae9e31&fccid=22d99361dca0507f&vjs=3",False
67,Engineering Project Manager - Los Angeles,Volta Charging,Los Angeles,N/A,"As an Engineering Project Manager, you will be responsible for your region’s construction projects during the engineering and permitting phases, and will…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/rc/clk?jk=816c2a911c22cf18&fccid=76576118f6c3bae4&vjs=3",False
66,Implementation Manager (World Language) - Southern California,"Carnegie Learning, Inc.",Los Angeles,N/A,The Implementation Manager (IM) facilitates high-quality professional learning for 6-12 educators utilizing Carnegie Learning resources in World Languages.,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/rc/clk?jk=9f428d100d931927&fccid=165ea1b6d3ab51bf&vjs=3",False
14,L&D Program Manager,Endpoint Closing,Los Angeles,N/A,You will work closely with leadership and across all business verticals to develop and launch learning programs.,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=694ae196f7e1ab91&fccid=27cdb3878c8d2d22&vjs=3",False
64,Project Manager,PCL Construction,Los Angeles,N/A,"Five (5) years of proven experience in project management from project pursuit to project close-out, overseeing commercial construction projects (hard bid and…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/rc/clk?jk=3e9bc36ee27b90ad&fccid=73c309830cebe205&vjs=3",False
81,VDC Manager,"Suffolk Construction Company, Inc.",Los Angeles,N/A,"Support project teams through the development of 2D, 3D, 4D, 5D & 6D project requirements such that it drives productivity and project schedule.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=cde6a079b51ed6d5&fccid=22e2a7b35b35a67f&vjs=3",False
83,Project Manager - Facilities Assessments,Parsons,Los Angeles,N/A,"5 years’ experience in educational facility construction, public works or large commercial projects (may include projects outside of California).","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=35654269c0a8040f&fccid=e8f998ddd15bac9c&vjs=3",False
20,Project Manager,"Suffolk Construction Company, Inc.",Los Angeles,N/A,The Project Manager is responsible for managing and coordinating all necessary project resources and documentation throughout the entire project lifecycle.,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=15c4a75d8232a05d&fccid=22e2a7b35b35a67f&vjs=3",False
8,Program Manager - NCQA Accreditation - Remote,Molina Healthcare,Los Angeles,N/A,"Assigns, directs and monitors system analysis and program staff.
Leads and manages team in planning and executing business programs.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=d08944c0aadb92d1&fccid=61b6afe09a420e77&vjs=3",False
2,IT Program Manager,Snapchat,Los Angeles,N/A,"4+ years in a project management or program management role leading projects of significant complexity.
As a member of the PMO team, you will take ownership of…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=3839913d3f907f45&fccid=f368300325e8e8bc&vjs=3",False
101,Project Manager,Novoresearch,Los Angeles,N/A,"The Project Manager is responsible for overseeing and coordinating all study management activities, study teams, and project timelines for Novoresearch.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=17d3c4f80a46df2c&fccid=812061af941a2369&vjs=3",False
100,Agile Coach (Staff Level),Northrop Grumman,Los Angeles,"Up to $212,160 a year","Supports proposal development, risk management, release management, and project planning activities.
Direct experience with transitioning teams to Lean-Agile…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=428360f87d5a0025&fccid=11619ce0d3c2c733&vjs=3",False
99,Program Manager,Belkin,Los Angeles,N/A,"Deliver projects under budget, resource and time constraints established in the project plan.
3+ years of project and program management experience required.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=2651e88305b07e94&fccid=ab88a8f1e3560cc7&vjs=3",False
97,"Team Lead, Project Management",Dynata,Los Angeles,N/A,Responsible for end-to-end project management of both individually managed projects and projects managed by direct reports.,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=378e118c19e95ccd&fccid=5362a19c14400543&vjs=3",False
96,BI Implementation Manager,AuditBoard,Los Angeles,N/A,"Manage portfolio of client projects and allocate work to BI developers and oversee projects through completion.
Who We Are Looking For.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=970095e9884051ab&fccid=f17224c64cb3c16b&vjs=3",False
4,"International Program Manager, VX Launch Readiness",Hulu,Los Angeles,N/A,"Experience with international programs and direct-to-consumer products.
Capability to work across multiple cultures and time zones to ensure successful program…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=c16923f6ce17b420&fccid=6824fc1f087bd63e&vjs=3",False
94,"PROGRAM IMPLEMENTATION MANAGER, HEALTH SERVICES/PERFORMANCE IMPROVEMENT",Los Angeles County Department of Human Resources,Los Angeles,"$118,906 - $158,575 a year","Experience with health information systems and project management.
Manages project budget, determine fiscal requirements and prepare budgetary recommendations…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=1edf908634716c47&fccid=b01534e05b04aabf&vjs=3",False
93,Dynamics 365 Project Manager,Avantiico,Los Angeles,N/A,"You will be responsible for leading projects, resource planning, and project profitability in the technology implementations and support of Microsoft Dynamics…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=65c6d35dc092f8f5&fccid=573a63a69aa40552&vjs=3",False
5,Workplace Services Program Manager III,Snapchat,Los Angeles,N/A,"Develop, implement, and manage a program for alternative ways of working.
Lead organizational change including creation of program level communication, change…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=2d5d2f939182613a&fccid=f368300325e8e8bc&vjs=3",False
91,Alliances Program Manager,Infoblox,Los Angeles,N/A,Strong project management and interpersonal skills with the ability to manage multiple projects and large teams of experts.,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=07ad28fe26790a00&fccid=d7bd935bd17bc575&vjs=3",False
90,IT Project Manager Infrastructure,T2 Flex Force LLC,Los Angeles,N/A,"Provide project management for infrastructure projects including technical, resource, schedules, and financial plans.
PMP or related certification is preferred.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=1ae82790b78db1c5&fccid=d6e962973436bda6&vjs=3",False
6,Council Program Manager II,Snapchat,Los Angeles,N/A,"Experienced with program management and balancing partnerships and relationships.
Overseeing all elements of the Council Training Cohort recruitment process and…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=9d1908eeda8ce052&fccid=f368300325e8e8bc&vjs=3",False
7,AR Program Manager,Snapchat,Los Angeles,N/A,"Experience directly impacting program or product growth.
3+ years of program and/or project management experience.
BS/BA or equivalent years of experience.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=cff3099f7a424c3c&fccid=f368300325e8e8bc&vjs=3",False
