,job_title,company,location,salary,summary,url,easily_apply?
69,Marketing Manager/Director,KitchenSync,Los Angeles,"$125,000 - $150,000 a year","Ensure internal alignment on customer’s goals and marketing strategies.
Experience in sales, marketing strategy, or account management.
Are you a social expert?","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/company/KitchenSync/jobs/Marketing-Manager-Director-1c8c4ffe032300be?fccid=b0eadfa4d92a3ebf&vjs=3",True
82,Quantitative Analysis and Trading Strategy Manager,Tacoma Public Utilities,Los Angeles,"$152,589 - $195,624 a year","This position will be responsible for the development of tactics and strategies to take advantage of market opportunities, communication of strategies to the…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/pagead/clk?mo=r&ad=-6NYlbfkN0A9OlvJTvX2YddXUuw0E3xFhJjrsiHARgsjg7m0tgFDL9fC1ps5Ifluui5PxPSYbFr-0aPChMkg3KcSfdt_KZEmHk_RJK5zuTHjHupWrnS-dQNa6QK8-_JZnmiXxE1GDOEkMuGNLVyhyYeW5BJsRLSSgOtp6E6pBft12xtBRQh6CG3U2MwkyFEVVoywba1JBOHqFL3-a0gwAw8VFq0Vn9ZQmRX946NSap6YXHoJpIG2w-uJpxM7GAqMJ2EP7cysOTmzqdlojAnxvJBUKC-uQuu-FhBE6O0gWPoHXrkUwbjrlWR_qtsS-mFr9WhYG5Xyp9nWA2-_tvLu5zc5NW2hUy05QBkznAvw2o1hnZT1_hsLGHQE4CtBva5u1wYGHCSGAD7Lt5NlVNSC8m2LpPMX-ZgKISSXsNVFbqMjnWmt3nMNLc2qD4joHeMKyEUd8-wjV1y62motLZ5crylGL5t_oHqQT2ZirWKMF0johw9tM79jqAmuf2--QAslXoSolckbI_GB_vdMjdgfgg==&p=10&fvj=1&vjs=3",True
83,EHS Manager,Golden State Foods,Los Angeles,N/A,"Train and coach managers and supervisors on behavior based strategies, accident investigation, hazard identification, self-inspection and employee training.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/pagead/clk?mo=r&ad=-6NYlbfkN0BabXG9d6qXEArQ4O3z0xEkGaGr4BLAmhs6Wi4MMsAiV72s_OgcXA1oqJgYiD4mwPQCJ1ODpHdA1q7nF47jT0vJyx6BzsF-4czu55hitDZToZEuE-oRGhOBboKGulvIY3FRNphqUznGxeOyqAZ6VaWbSO0vtGlvRgIqZI-nPW9pb-G2Q9yGAiOjZNO1D9TkZnqbADUxR40t5IwUb-WPLm5B4skFzrhI-CI_gSlSDLPyy3mfLLQHcvWRHJfi4B7VAICNybeEvBLgKYLcuzQr5JGanQG8A6pzD_KyWZz1EhoKheBuAlquOI3jbYmDibhEdyC9KembjZVsqVko6cJK2-L4A0oA6RC1_lQqILDtJlSyNMlKARGYERd4C_T2DuGg8O1PhxgQPTxBhyCpPFgJvC5keyXbv0dcbkXTuWb_WkpzPVNJPSxr31NRtHpLrV4yLU6YEJ3a3s46s6NBls92Wf38FNv_EaqBBCU=&p=11&fvj=1&vjs=3",True
84,Plant Engineering Manager,Reynaldo's Mexican Food Company,Los Angeles,"Up to $100,000 a year","Previous experience with managing complexity and rapidly changing strategies.
Creates specific objectives, functional strategies and develops budgets, policies…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/pagead/clk?mo=r&ad=-6NYlbfkN0DcVFhgznB5Qf25mtipWviiFWbcFq41hIAu5tYUiFACfuwU_hWgLE3t8843IP1k4qLdCBquNmIWj6RLCOvBdkWLh1NGdzKUk9Iw_r_mZn4xtpbbo9CET_rt_qZrIrYYWl_Lyv2De9dXaufWkmlpRkveGbRpfY_M_hLO3jiCgg180TjdYbsNFwkXUw9Dppggq_LJylpk6GUHbVJemUgRPxjyiNzqVNg42L-wzkeKtXwwIYZgX24lX1GmvP-YQuMjPJclimVaNdH2pOyJGWnIH8b7K1Tx0hMds0Z2LWG7Y3IHksUSqPaMOy_Iuh2sjLuF1VXp9-ujiXkU81QO4PLtL2H18nnT6W6pJQB9Uopt0nbHY3u4IIdVQdEKGUIvNfCLtgLeYzd5hLT7ULWIC-xmmA1lwVKK5aEIM47Dl7KLfUkIuXgKdETKCCjQQ0RAkBIxR5sWYqL5e36OE5_7FWYqmqWUHxWQZ2I_ULL83Chq6GMRyg==&p=12&fvj=1&vjs=3",True
85,"Paid Acquisition Lead (Paid Social, SEM)",CoEfficient Labs,Los Angeles,"$80,000 - $150,000 a year",The Paid Acquisition Lead is responsible for facilitating and managing the strategy and operations for our Pod with the overall goal of retaining our clients…,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/pagead/clk?mo=r&ad=-6NYlbfkN0AT6Ykrq4y6-2xSPpsHrOXBp2H68UVQpniIOUpNnpiLY6XK98NiYLxAbY-1KfhXBpB9_Xc79GEPggMFj8gODFiK8ADwlXpEGbhMqaRkLWkdsB7UzkpFehOO2FI3ymmwJJW2LWqoFKd8qig_1ev_eK0Y7Es7dLh_NUmR_XzA7_LDaU2GMtfAUWXmPqo2eGEumYytRCiqgMSqcvQRVEAfRCTLOoMk2RSpE7-PzNE8Kej-_zeBaX-_VcUzyF4EjAPVlss30j2uB3hNgj8U5WpvWWWhjDqSEW0-eHARTfnqsDQLt6NeRMWAV6zprMNehMpoAHa7QkJUrmEC5kHkbg3zlB_wTNjzPRJOsxfi2pf9yIoPFAY6FLeJEFeJLoGDaz0hv9o9A9olV36CV_Cm8TOe0rDymXoLvksnYFieWe6Y1H_qYigTQcU-4uro0Lh4057EYhFewpoZaazbpJeQ5f3qmoroCDn2mp-jL1vJxpiC6EQopLHbUP1KaCz_RG6t7F8_qjg=&p=13&fvj=1&vjs=3",True
86,VP of Operations,AMS Paving,Los Angeles,"$120,000 - $140,000 a year","Minimum of 10 years’ experience as a manager or supervisor in a construction environment.
This role also requires skill in planning, organization, strategies,…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/pagead/clk?mo=r&ad=-6NYlbfkN0A7J1_miGGU21xXEjSqZOz0AOIIvmKcZj4O8TRv-tFx25iiZikhug9F-bttGCkwRX5OmI15AblQPP5MkhMN76AsYVA4s_TtD9WdddE4isozImg1srBagQriqWWEIeazqLe_qmsglkRwAITZAIiDPqHBHuHHUJolZGhflOWZfO7hiVNimFhAbe7iAzwgbyrJ9oD2HXjP_VUBmbyLwyQWGOGM6H1CXg0aLc72XsfSMKxoaKmDK4dvIw5mmjEYa8YbBH4bQdZ0lyeXH5tqnVFdK8HgNsIjq-vDvtvQ-Bg0RGHW7oR3QfDO-H7ALMz9zl0-2B2p87uj7hfQe4Vum2uyXFTlCfmbz8ivn04KJpHO2vqmiIEghzOfM7UIKENxSsP2I-SE6JXjII9schmSdwR05CarFtu5RnlBLBluowIDF-W8VBLk_Wju9ZhOhE_HVy_RfE4B4WDZg9JnQnbFG7B5qp8pENmKHSZXXaiAMN7jzxLSbA==&p=14&fvj=1&vjs=3",True
93,Marketing Operations Manager,GoForClose,Los Angeles,"$80,000 - $120,000 a year","Design the roadmap and strategy for new programs and scalable solutions.
Unlike most marketing agencies that focus on just one type of marketing, we focus on…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=0d176b9e76f6ceb4&fccid=98a74bef92445270&vjs=3",True
98,Brand Manager,Petrol Advertising,Los Angeles,N/A,"This includes the brand strategy, research, audience segmentations and go-to-market strategies.
Build brand strategies for GTM plans and projects.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=b84c15432ba11b7b&fccid=ad0cbd99874d7f68&vjs=3",True
111,Quantitative Analysis and Trading Strategy Manager,Tacoma Public Utilities,Los Angeles,"$152,589 - $195,624 a year","This position will be responsible for the development of tactics and strategies to take advantage of market opportunities, communication of strategies to the…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/pagead/clk?mo=r&ad=-6NYlbfkN0A9OlvJTvX2YddXUuw0E3xFhJjrsiHARgsjg7m0tgFDL9fC1ps5Ifluui5PxPSYbFr-0aPChMkg3KcSfdt_KZEmHk_RJK5zuTHjHupWrnS-dQNa6QK8-_JZnmiXxE1GDOEkMuGNLVyhyYeW5BJsRLSSgOtp6E6pBft12xtBRQh6CG3U2MwkyFEVywp3mZAyo1m-AfhF4B3WX4laaTFzYYqVv4e-NbJFhJRIkoCg12WU7shq64tMZwVaBmhEoeIZWEmU4-hlKrZnqeVnIj5Ml40Zt1bwAYHqYAlzosvANxPWLl__hi7G57uRaXGlClLYtuA8A1dIXc6D50IEF_fEauCEqvOSm5DKiZMW6-PlqJCEUnRWIm3scXIzOdPL_9urNRD23InjZ49lSeGSa75GlAmxowwVR67V8fXP7nrYYypCzJq0G8mSIllvFvJPT5cOILrmH6cSG0XbRFgQkuMTIr_-AtP_rtDtGgycbb784QFzuxjrMrNY2lrgMVUtBq1skTeZS9z5CObZ9Q==&p=10&fvj=1&vjs=3",True
112,EHS Manager,Golden State Foods,Los Angeles,N/A,"Train and coach managers and supervisors on behavior based strategies, accident investigation, hazard identification, self-inspection and employee training.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/pagead/clk?mo=r&ad=-6NYlbfkN0BabXG9d6qXEArQ4O3z0xEkGaGr4BLAmhs6Wi4MMsAiV72s_OgcXA1oqJgYiD4mwPQCJ1ODpHdA1q7nF47jT0vJyx6BzsF-4czu55hitDZToZEuE-oRGhOBboKGulvIY3FRNphqUznGxeOyqAZ6VaWbSO0vtGlvRgIqZI-nPW9pb-G2Q9yGAiOjHTrnXour2PsFhJCEQEtu12y_YreURD3hVt3xoUPxg440keyMGgCFkqrkqCLCmC5M79AZFfxm44hdgHgyQmcUDg8mCkUoBI1a37H_lqEwW_ByGiOs_w31B1TxhPplBUTrJdd5hJwtLMNQsoZ18UE7pyD9rKX8KsR0mMbtEANQjB71clcz1dPrZU8CknIpO0vyhjwrLBpaOAJVZFwRvYJoLuIDzdcJqk-vR09l-xZPsAefnPj1LhSKWl9Kw7i3i36pI-y8QlEWWboHriuh3BrxdLCB_DCNTqUAVXeyoRPcXx0=&p=11&fvj=1&vjs=3",True
